Date,irrigated,rainfed
2016-11-15,,
2016-11-16,,
2016-11-17,0.677339683,0.481331432
2016-11-18,0.791740406,0.796654371
2016-11-19,1.032159343,0.344272126
2016-11-20,,
2016-11-21,,
2016-11-22,,
2016-11-23,0.410977083,0.523962054
2016-11-24,0.637412468,1.192957864
2016-11-25,,
2016-11-26,,
2016-11-27,,
2016-11-28,,
2016-11-29,0.805648122,0.941901065
2016-11-30,0.268725478,0.407158498
2016-12-01,0.405466063,0.669076719
2016-12-02,,
2016-12-03,,
2016-12-04,,
2016-12-05,0.536112939,0.501926649
2016-12-06,0.540208381,0.37986909
2016-12-07,0.766055395,0.406798439
2016-12-08,,
2016-12-09,,
2016-12-10,,
2016-12-11,0.559232337,0.755074612
2016-12-12,0.273633954,0.473443593
2016-12-13,0.838950466,0.349186396
2016-12-14,,
2016-12-15,,
2016-12-16,,
2016-12-17,0.457408798,0.499079184
2016-12-18,0.190898672,0.408563897
2016-12-19,0.554405678,0.509554102
2016-12-20,,
2016-12-21,,
2016-12-22,,
2016-12-23,0.426282875,0.364598215
2016-12-24,0.175780345,0.272464818
2016-12-25,0.605758024,0.441138479
2016-12-26,,
2016-12-27,,
2016-12-28,,
2016-12-29,0.361829548,0.515803548
2016-12-30,0.259873433,0.400228366
2016-12-31,0.796419319,0.601666355
2017-01-01,,
2017-01-02,,
2017-01-03,,
2017-01-04,0.322466954,0.299006356
2017-01-05,0.366680901,0.524886059
2017-01-06,0.857592796,0.551112124
2017-01-07,,
2017-01-08,,
2017-01-09,,
2017-01-10,0.479763698,0.367983344
2017-01-11,0.19012512,0.406692539
2017-01-12,1.327894858,0.245028834
2017-01-13,,
2017-01-14,,
2017-01-15,,
2017-01-16,0.465888273,0.471526579
2017-01-17,0.257135574,0.477775176
2017-01-18,0.681409575,0.440686468
2017-01-19,,
2017-01-20,,
2017-01-21,,
2017-01-22,0.871060487,0.289286038
2017-01-23,0.330919241,0.606286829
2017-01-24,0.664833855,0.842635825
2017-01-25,,
2017-01-26,,
2017-01-27,,
2017-01-28,0.645961544,0.706558231
2017-01-29,0.228266057,0.488123435
2017-01-30,0.312492438,0.335163331
2017-01-31,,
2017-02-01,,
2017-02-02,,
2017-02-03,0.439139289,0.556411952
2017-02-04,0.560649657,1.069801535
2017-02-05,0.947433085,0.40889477
2017-02-06,,
2017-02-07,,
2017-02-08,,
2017-02-09,0.728099109,0.748129364
2017-02-10,0.355513646,0.806594009
2017-02-11,1.06369927,0.472302826
2017-02-12,,
2017-02-13,,
2017-02-14,,
2017-02-15,0.471958537,0.592370801
2017-02-16,0.583887849,0.733993196
2017-02-17,0.887548809,0.706435592
2017-02-18,,
2017-02-19,,
2017-02-20,,
2017-02-21,1.31668914,1.219164736
2017-02-22,0.700983071,1.001345014
2017-02-23,1.517635414,0.804680883
2017-02-24,,
2017-02-25,,
2017-02-26,,
2017-02-27,1.748567051,1.240342548
2017-02-28,0.548605507,1.022271242
2017-03-01,0.707695059,0.87504673
2017-03-02,,
2017-03-03,,
2017-03-04,,
2017-03-05,0.878170026,0.783269235
2017-03-06,0.647914235,1.224562446
2017-03-07,0.749131023,1.396779616
2017-03-08,,
2017-03-09,,
2017-03-10,,
2017-03-11,0.793763075,1.183490644
2017-03-12,0.794156645,0.637473685
2017-03-13,1.009834038,0.909227181
2017-03-14,,
2017-03-15,,
2017-03-16,,
2017-03-17,0.796789659,0.909443794
2017-03-18,1.05453617,0.395935213
2017-03-19,0.496971049,0.973689782
2017-03-20,,
2017-03-21,,
2017-03-22,,
2017-03-23,0.682814271,0.828170843
2017-03-24,1.68917642,0.920506894
2017-03-25,1.447865242,1.118475995
2017-03-26,,
2017-03-27,,
2017-03-28,,
2017-03-29,1.585736697,1.213827429
2017-03-30,1.722442432,1.215816515
2017-03-31,1.332058746,1.185958284
2017-04-01,,
2017-04-02,,
2017-04-03,,
2017-04-04,0.517469239,0.982837231
2017-04-05,1.075280165,1.027920929
2017-04-06,1.30352139,1.432761956
2017-04-07,,
2017-04-08,,
2017-04-09,,
2017-04-10,1.358916207,1.018644762
2017-04-11,0.915388091,0.722262447
2017-04-12,0.844142073,1.143616077
2017-04-13,,
2017-04-14,,
2017-04-15,,
2017-04-16,0.363929536,1.174478286
2017-04-17,1.054823382,1.073469955
2017-04-18,0.580846934,1.354702815
2017-04-19,,
2017-04-20,,
2017-04-21,,
2017-04-22,0.970250782,0.432027186
2017-04-23,0.911921027,1.027485808
2017-04-24,1.347683222,0.333002335
2017-04-25,,
2017-04-26,,
2017-04-27,,
2017-04-28,0.982684668,0.997065587
2017-04-29,1.250091045,1.616868378
2017-04-30,1.144180749,1.005705604
2017-05-01,,
2017-05-02,,
2017-05-03,,
2017-05-04,0.849814952,1.0084944
2017-05-05,0.309681454,1.123246953
2017-05-06,0.602447968,0.886108686
2017-05-07,,
2017-05-08,,
2017-05-09,,
2017-05-10,0.525736945,0.730959696
2017-05-11,1.719077173,1.802344941
2017-05-12,0.997853697,0.855788402
2017-05-13,,
2017-05-14,,
2017-05-15,,
2017-05-16,1.06578384,0.619556396
2017-05-17,0.694084241,0.770193192
2017-05-18,1.218758074,1.084256361
2017-05-19,,
2017-05-20,,
2017-05-21,,
2017-05-22,0.69148591,0.788223532
2017-05-23,0.418678426,0.655173103
2017-05-24,0.730960805,0.784822097
2017-05-25,,
2017-05-26,,
2017-05-27,,
2017-05-28,1.445403484,1.372668394
2017-05-29,0.786461201,1.342273706
2017-05-30,1.903221164,1.936803633
2017-05-31,,
2017-06-01,,
2017-06-02,,
2017-06-03,0.938328026,1.0574745
2017-06-04,1.359086125,0.894315149
2017-06-05,0.753860973,0.59948485
2017-06-06,,
2017-06-07,,
2017-06-08,,
2017-06-09,1.207469418,0.672809239
2017-06-10,0.862348622,1.036832762
2017-06-11,1.200106287,0.625518906
2017-06-12,,
2017-06-13,,
2017-06-14,,
2017-06-15,1.270405136,0.607065253
2017-06-16,0.720400115,1.474515339
2017-06-17,0.862510473,0.879675895
2017-06-18,,
2017-06-19,,
2017-06-20,,
2017-06-21,,
2017-06-22,0.436476329,0.607707777
2017-06-23,0.564552313,0.838599853
2017-06-24,,
2017-06-25,,
2017-06-26,,
2017-06-27,0.860365528,1.138945003
2017-06-28,1.327343188,0.722849861
2017-06-29,0.865483029,0.847742549
2017-06-30,,
2017-07-01,,
2017-07-02,,
2017-07-03,1.174580853,0.902153109
2017-07-04,1.281194302,0.750102456
2017-07-05,0.574671182,0.793690027
2017-07-06,,
2017-07-07,,
2017-07-08,,
2017-07-09,0.438919753,0.609369135
2017-07-10,0.738307499,0.91687663
2017-07-11,0.776631786,1.121625918
2017-07-12,,
2017-07-13,,
2017-07-14,,
2017-07-15,0.763845522,0.891306734
2017-07-16,0.551162096,0.656336766
2017-07-17,0.60930724,0.930818283
2017-07-18,,
2017-07-19,,
2017-07-20,,
2017-07-21,0.578461936,0.831616461
2017-07-22,0.60438876,0.711370472
2017-07-23,0.391167595,1.119595584
2017-07-24,,
2017-07-25,,
2017-07-26,,
2017-07-27,0.816882416,0.711441705
2017-07-28,0.525714491,0.475540703
2017-07-29,0.617821706,0.95740514
2017-07-30,,
